State,Age_Bracket,Age_Lower,Age_Upper,Race,Deaths,Bracket_Median_Age,Bracket_Mean_Age,Life Expectancy,YLL (based on age bracket median),YLL (based on age bracket weighted mean),YLL (based on upper age in bracket)
South Dakota,20_29,20.0,29.0,Hispanic,1.0,24.5,24.46,91.315303331,66.815303331,66.85530333099999,62.315303330999996
South Dakota,30_39,30.0,39.0,Hispanic,1.0,34.5,34.69,91.315303331,56.815303330999996,56.625303331,52.315303330999996
South Dakota,40_49,40.0,49.0,Hispanic,1.0,44.5,44.3,91.315303331,46.815303330999996,47.015303331,42.315303330999996
South Dakota,50_59,50.0,59.0,Hispanic,2.0,54.5,54.09,91.315303331,73.63060666199999,74.45060666199998,64.63060666199999
South Dakota,60_69,60.0,69.0,Hispanic,7.0,64.5,64.3,91.315303331,187.70712331699997,189.107123317,156.20712331699997
South Dakota,70_79,70.0,79.0,Hispanic,4.0,74.5,74.23,91.315303331,67.26121332399998,68.34121332399997,49.26121332399998
South Dakota,80+,80.0,,Hispanic,7.0,80.0,85.19,91.315303331,79.20712331699997,42.877123316999985,
California,0_17,0.0,17.0,Asian,2.0,8.5,8.58,87.69959621,158.39919242,158.23919242,141.39919242
California,18_34,18.0,34.0,Asian,38.0,26.0,26.03,87.69959621,2344.5846559799998,2343.44465598,2040.5846559799998
California,35_49,35.0,49.0,Asian,170.0,42.0,41.8,87.69959621,7768.9313557,7802.9313557,6578.9313557
California,50_64,50.0,64.0,Asian,730.0,57.0,56.12,87.69959621,22410.705233299996,23053.105233299997,17300.705233299996
California,65_79,65.0,79.0,Asian,1857.0,72.0,71.55,87.69959621,29154.150161969992,29989.800161969997,16155.150161969992
California,80+,80.0,,Asian,3200.0,80.0,85.19,87.69959621,24638.707871999984,8030.707871999994,
Illinois,0_19,0.0,19.0,Asian,0.0,9.5,9.59,89.638974101,0.0,0.0,0.0
Illinois,20_29,20.0,29.0,Asian,0.0,24.5,24.46,89.638974101,0.0,0.0,0.0
Illinois,30_39,30.0,39.0,Asian,9.0,34.5,34.69,89.638974101,496.25076690900005,494.540766909,455.75076690900005
Illinois,40_49,40.0,49.0,Asian,20.0,44.5,44.3,89.638974101,902.77948202,906.7794820200002,812.77948202
Illinois,50_59,50.0,59.0,Asian,45.0,54.5,54.09,89.638974101,1581.253834545,1599.703834545,1378.753834545
Illinois,60_69,60.0,69.0,Asian,118.0,64.5,64.3,89.638974101,2966.3989439180004,2989.998943918001,2435.3989439180004
Illinois,70_79,70.0,79.0,Asian,205.0,74.5,74.23,89.638974101,3103.4896907050006,3158.8396907049996,2180.9896907050006
Illinois,80+,80.0,,Asian,336.0,80.0,85.19,89.638974101,3238.6952979360008,1494.8552979360015,
Michigan,0_9,0.0,9.0,Asian,0.0,4.5,4.58,90.934023829,0.0,0.0,0.0
Michigan,10_19,10.0,19.0,Asian,0.0,14.5,14.84,90.934023829,0.0,0.0,0.0
Michigan,20_29,20.0,29.0,Asian,0.0,24.5,24.46,90.934023829,0.0,0.0,0.0
Michigan,30_39,30.0,39.0,Asian,0.0,34.5,34.69,90.934023829,0.0,0.0,0.0
Michigan,40_49,40.0,49.0,Asian,0.0,44.5,44.3,90.934023829,0.0,0.0,0.0
Michigan,50_59,50.0,59.0,Asian,6.0,54.5,54.09,90.934023829,218.60414297399998,221.06414297399996,191.60414297399998
Michigan,60_69,60.0,69.0,Asian,34.0,64.5,64.3,90.934023829,898.7568101859999,905.556810186,745.7568101859999
